yyyy-mm-ddTHH:MM:SSZ, BB_20-24000 
2018-08-26T20:24:55.000Z, 101.457660
2018-08-26T20:44:55.000Z, 101.926446
2018-08-26T21:04:55.000Z, 102.098972
2018-08-26T21:24:55.000Z, 102.638954
2018-08-26T21:44:55.000Z, 102.074678
2018-08-26T22:04:55.000Z, 102.055068
2018-08-26T22:24:55.000Z, 103.689494
2018-08-26T22:44:55.000Z, 102.082770
2018-08-26T23:04:55.000Z, 102.967976
2018-08-26T23:24:55.000Z, 102.262583
2018-08-26T23:44:55.000Z, 101.619495
2018-08-27T00:04:55.000Z, 101.444336
2018-08-27T00:24:55.000Z, 100.913022
2018-08-27T00:44:55.000Z, 101.088259
2018-08-27T01:04:55.000Z, 101.519653
2018-08-27T01:24:55.000Z, 101.271622
2018-08-27T01:44:55.000Z, 101.789329
2018-08-27T02:04:55.000Z, 104.383164
2018-08-27T02:24:55.000Z, 103.582397
2018-08-27T02:44:55.000Z, 104.415452
2018-08-27T03:04:55.000Z, 103.659887
2018-08-27T03:24:55.000Z, 103.217070
2018-08-27T03:44:55.000Z, 103.275478
2018-08-27T04:04:55.000Z, 102.058138
2018-08-27T04:24:55.000Z, 101.505007
2018-08-27T04:44:55.000Z, 101.649580
2018-08-27T05:04:55.000Z, 102.535337
2018-08-27T05:24:55.000Z, 102.648412
2018-08-27T05:44:55.000Z, 102.581542
2018-08-27T06:04:55.000Z, 102.236882
2018-08-27T06:24:55.000Z, 102.009244
2018-08-27T06:44:55.000Z, 102.788891
2018-08-27T07:04:55.000Z, 102.457193
2018-08-27T07:24:55.000Z, 103.151092
2018-08-27T07:44:55.000Z, 103.063274
2018-08-27T08:04:55.000Z, 103.787290
2018-08-27T08:24:55.000Z, 103.962168
2018-08-27T08:44:55.000Z, 103.632719
2018-08-27T09:04:55.000Z, 104.038826
2018-08-27T09:24:55.000Z, 104.130514
2018-08-27T09:44:55.000Z, 103.716193
2018-08-27T10:04:55.000Z, 103.748034
2018-08-27T10:24:55.000Z, 103.457669
2018-08-27T10:44:55.000Z, 103.319066
